#,Name,Value,Pattern,Name,Quantity,
1,Bridge,,DBS,Bridge,1,
2,CAP,1uF_SMD,CAP-2.54/6.6x3,CAP,2,
3,1N4001,1N4001_SMD,DO-41,1N4001,1,
4,Din,,,Din,1,
5,Din1,,,Din1,1,
6,LED,Red_SMT,SMD_LED_00,LED,8,Nationstar 2835
7,LED,Green_SMT,SMD_LED_01,LED,8,Nationstar 2835
7,GND,,,GND,4,
8,Port_Out,,,Port_Out,1,
9,12V,,,12V,1,
10,BC817-40,NPN_SMD,SOT23,BC817-40,1,
11,RES_0805,330 Ohm,RES_0805,RES_0805,4,
12,KSC241GLFS,KSC241GLFS,KSC-G,KSC241GLFS,1,
13,MC7812ACD2T,MC7812ACD2T,TO263-3(4)/15x10x2.54,MC7812ACD2T,1,
,,,,,35,
