RefDes,Name,Pattern,X (mm),Y (mm),Side,Rotate,Value
D2,DBS105G,DBS,16.815,8.36,Top,269.96,DBS105G
LED14,LED,SMD_LED_00,-4.585,17.78,Top,90,GREEN
LED15,LED,SMD_LED_00,1.959,33.709,Top,45,GREEN
LED16,LED,SMD_LED_00,17.78,40.304,Top,0,GREEN
LED9,LED,SMD_LED_00,33.709,33.759,Top,135,GREEN
LED10,LED,SMD_LED_00,40.304,17.78,Top,90,GREEN
LED11,LED,SMD_LED_00,33.759,2.009,Top,45,GREEN
LED12,LED,SMD_LED_00,17.78,-4.585,Top,0,GREEN
LED13,LED,SMD_LED_00,2.009,1.801,Top,135,GREEN
R6,RES_0805,RES_0805,25.558,12.222,Top,90,10K Ohm
R5,RES_0805,RES_0805,25.558,16.825,Top,90,10K Ohm
LED6,LED,SMD_LED_00,-1.746,17.78,Top,270,RED
LED7,LED,SMD_LED_00,4.127,31.591,Top,225,RED
LED8,LED,SMD_LED_00,17.78,37.465,Top,180,RED
LED1,LED,SMD_LED_00,31.591,31.591,Top,315,RED
LED2,LED,SMD_LED_00,37.465,17.78,Top,270,RED
LED3,LED,SMD_LED_00,31.75,4.127,Top,225,RED
LED4,LED,SMD_LED_00,17.78,-1.746,Top,180,RED
LED5,LED,SMD_LED_00,4.127,3.969,Top,315,RED
R4,RES_0805,RES_0805,13.176,-3.495,Top,89.99,330 Ohm
R3,RES_0805,RES_0805,5.735,-0.565,Top,229.67,330 Ohm
R1,RES_0805,RES_0805,23.016,37.463,Top,0,330 Ohm
R2,RES_0805,RES_0805,28.135,35.204,Top,315.02,330 Ohm
Q1,BC817-40,SOT23,24.394,27.919,Top,180.89,NPN
U1,MC78M12ACDTRK,TO252-3(4)/10x6.6x2.28,8.98,25.623,Top,179.91,MC78M12ACDTRK
C1,CAP_0805,CAP_0805,8.889,19.844,Top,0,0,1uF
C2,CAP_0805,CAP_0805,12.539,31.59,Top,0,0.1uF
D4,DIODE_1812,DIO_1812,30.841,23.494,Top,0,
S1,KSC-Gggg,KSC-Gggg,17.77,17.82,Top,0,
